DataYear,County,Fuel,MakeName,Model,Class,BodyStyle,VehicleType,Number of Vehicles
2022,Los Angeles,Electric,Greenpower Motor,Evc210,7,Commercial / Shuttle Bus / Coach,Bus,2
2022,Los Angeles,Electric,Greenpower Motor,Evc210,7,Incomplete - Bus Chassis,Bus,3
2022,Los Angeles,Electric,IC Bus,Ce Series,7,School Bus,Bus,8
2022,Los Angeles,Electric,Lion Ebus,Lion C V1,7,School Bus,Bus,4
2022,Los Angeles,Electric,Lion Ebus,Lion C V2,7,School Bus,Bus,3
2022,Los Angeles,Electric,Lion Ebus,Lion C V2,8,School Bus,Bus,13
2022,Los Angeles,Electric,New Flyer,Xcelsior,8,Transit Bus,Bus,46
2022,Los Angeles,Electric,Orange Ev,Terminal Tractor,8,Terminal Tractor,Truck,9
2022,Los Angeles,Electric,Proterra,Catalyst,8,Transit Bus,Bus,26
2022,Los Angeles,Electric,Proterra,Transit Bus 35F,8,Transit Bus,Bus,10
2022,Los Angeles,Electric,Proterra,Transit Bus 40F,8,Transit Bus,Bus,16
2022,Los Angeles,Electric,Volvo,Vnr,7,Chassis & Cab,Truck,1
2022,Los Angeles,Electric,Volvo,Vnr,7,Tractor Truck,Truck,2
2022,Los Angeles,Electric,Volvo,Vnr,8,Tractor Truck,Truck,35
2022,Los Angeles,Electric,Xos,Sa01,6,Step Van,Delivery Van,6
2022,Los Angeles,Electric,Xos,Sv01,6,Step Van,Delivery Van,14
2022,Los Angeles,Hydrogen,Gillig,Transit Bus,6,Transit Bus,Bus,22
2022,Los Angeles,Hydrogen,New Flyer,Xcelsior,8,Transit Bus,Bus,14
2022,Madera,Electric,Blue Bird,All American / All Canadian,6,School Bus,Bus,5
2022,Madera,Electric,Blue Bird,All American / All Canadian,"6, 7, 8",School Bus,Bus,4
2022,Madera,Electric,Freightliner,B2 106,7,Chassis & Cab,Truck,2
2022,Madera,Electric,Lion Ebus,Lion C V2,8,School Bus,Bus,1
2022,Marin,Electric,BYD,Electric Truck,"6, 7, 8",Straight Truck,Truck,4
2022,Marin,Electric,BYD,Transit Bus 35F,8,Transit Bus,Bus,2
2022,Marin,Hydrogen,Gillig,Transit Bus,6,Transit Bus,Bus,4
2022,Mendocino,Electric,Lion Ebus,Lion C V1,7,School Bus,Bus,1
2022,Mendocino,Electric,Lion Ebus,Lion C V2,8,School Bus,Bus,3
2022,Mendocino,Electric,Orange Ev,Terminal Tractor,8,Terminal Tractor,Truck,2
2022,Merced,Electric,Blue Bird,All American / All Canadian,6,School Bus,Bus,2
2022,Mono,Electric,Blue Bird,All American / All Canadian,6,School Bus,Bus,1
2022,Mono,Electric,Blue Bird,All American / All Canadian,8,School Bus,Bus,1
2022,Mono,Electric,Freightliner,B2 106,7,Chassis & Cab,Truck,1
2022,Monterey,Electric,Blue Bird,All American / All Canadian,6,School Bus,Bus,5
2022,Monterey,Electric,BYD,Transit Bus 30F,8,Transit Bus,Bus,2
2022,Monterey,Electric,Lion Ebus,Lion C V1,7,School Bus,Bus,2
2022,Monterey,Electric,Lion Ebus,Lion C V2,7,School Bus,Bus,3
2022,Monterey,Electric,Lion Ebus,Lion C V2,8,School Bus,Bus,2
2022,Monterey,Hydrogen,Gillig,Transit Bus,6,Transit Bus,Bus,2
2022,Napa,Electric,Proterra,Catalyst,8,Transit Bus,Bus,2
2022,Orange,Electric,Blue Bird,All American / All Canadian,6,School Bus,Bus,7
2022,Orange,Electric,Blue Bird,All American / All Canadian,"6, 7, 8",School Bus,Bus,3
