Year,Zip Code,Model Year,Fuel,Make,Duty,Vehicles
2016,90704,2017,Battery Electric,OTHER/UNK,Heavy,2
2016,90706,2018,Battery Electric,OTHER/UNK,Heavy,2
2016,90714,2019,Battery Electric,OTHER/UNK,Heavy,1
2016,90744,2012,Battery Electric,OTHER/UNK,Heavy,2
2016,90744,2013,Battery Electric,OTHER/UNK,Heavy,1
2016,90745,2017,Battery Electric,OTHER/UNK,Heavy,1
2016,90745,2019,Battery Electric,OTHER/UNK,Heavy,1
2016,90808,<2007,Battery Electric,OTHER/UNK,Heavy,1
2016,90810,2010,Battery Electric,OTHER/UNK,Heavy,1
2016,90810,2018,Battery Electric,OTHER/UNK,Heavy,1
2016,90813,2016,Battery Electric,OTHER/UNK,Heavy,10
2016,91326,<2007,Battery Electric,OTHER/UNK,Heavy,1
2016,91330,<2007,Battery Electric,OTHER/UNK,Heavy,1
2016,91344,<2007,Battery Electric,OTHER/UNK,Heavy,1
2016,91362,2019,Battery Electric,OTHER/UNK,Heavy,3
2016,91405,2014,Battery Electric,Unk,Heavy,42
2016,91405,2016,Battery Electric,OTHER/UNK,Heavy,1
2016,91405,<2007,Battery Electric,OTHER/UNK,Heavy,6
2016,91730,2008,Battery Electric,OTHER/UNK,Heavy,1
2016,91730,2010,Battery Electric,OTHER/UNK,Heavy,5
2016,91732,2018,Battery Electric,OTHER/UNK,Heavy,2
2016,91761,2013,Battery Electric,OTHER/UNK,Heavy,1
2016,91761,2015,Battery Electric,OTHER/UNK,Heavy,3
2016,91789,<2007,Battery Electric,OTHER/UNK,Heavy,1
2016,91790,2010,Battery Electric,OTHER/UNK,Heavy,3
2016,91790,2013,Battery Electric,Unk,Heavy,12
2016,91790,2015,Battery Electric,OTHER/UNK,Heavy,2
2016,91790,2017,Battery Electric,Unk,Heavy,14
2016,91790,2018,Battery Electric,OTHER/UNK,Heavy,3
2016,92020,2019,Battery Electric,OTHER/UNK,Heavy,5
2016,92064,<2007,Battery Electric,OTHER/UNK,Heavy,1
2016,92101,2019,Battery Electric,OTHER/UNK,Heavy,6
2016,92103,2013,Battery Electric,OTHER/UNK,Heavy,1
2016,92110,2019,Battery Electric,OTHER/UNK,Heavy,2
2016,92122,2019,Battery Electric,OTHER/UNK,Heavy,1
2016,92123,2013,Battery Electric,OTHER/UNK,Heavy,1
2016,92154,2010,Battery Electric,OTHER/UNK,Heavy,4
2016,92154,2012,Battery Electric,OTHER/UNK,Heavy,1
2016,92223,<2007,Battery Electric,OTHER/UNK,Heavy,1
2016,92276,2018,Battery Electric,OTHER/UNK,Heavy,4
2016,92335,2018,Battery Electric,OTHER/UNK,Heavy,6
2016,92337,2017,Battery Electric,OTHER/UNK,Heavy,1
2016,92345,2019,Battery Electric,OTHER/UNK,Heavy,7
2016,92373,<2007,Battery Electric,OTHER/UNK,Heavy,1
2016,92376,2019,Battery Electric,OTHER/UNK,Heavy,5
2016,92509,2016,Battery Electric,OTHER/UNK,Heavy,2
2016,92548,2013,Battery Electric,OTHER/UNK,Heavy,1
2016,92563,2010,Battery Electric,OTHER/UNK,Heavy,1
2016,92617,2017,Battery Electric,Unk,Heavy,20
2016,92617,2018,Battery Electric,OTHER/UNK,Heavy,10
2016,92618,2016,Battery Electric,OTHER/UNK,Heavy,1
2016,92619,<2007,Battery Electric,OTHER/UNK,Heavy,1
2016,92626,2017,Battery Electric,Unk,Heavy,21
2016,92664,<2007,Battery Electric,OTHER/UNK,Heavy,1
2016,92677,2013,Battery Electric,OTHER/UNK,Heavy,1
2016,92700,<2007,Battery Electric,OTHER/UNK,Heavy,8
2016,92805,2012,Battery Electric,Unk,Heavy,15
2016,92805,2013,Battery Electric,Unk,Heavy,55
2016,92805,2015,Battery Electric,OTHER/UNK,Heavy,1
2016,93101,2017,Battery Electric,Unk,Heavy,14
2016,93101,<2007,Battery Electric,OTHER/UNK,Heavy,3
2016,93103,<2007,Battery Electric,OTHER/UNK,Heavy,6
2016,93106,<2007,Battery Electric,OTHER/UNK,Heavy,1
2016,93117,2014,Battery Electric,OTHER/UNK,Heavy,1
2016,93117,<2007,Battery Electric,OTHER/UNK,Heavy,1
2016,93203,2019,Battery Electric,OTHER/UNK,Heavy,3
2016,93221,2019,Battery Electric,OTHER/UNK,Heavy,3
2016,93257,2018,Battery Electric,OTHER/UNK,Heavy,9
2016,93291,2018,Battery Electric,OTHER/UNK,Heavy,3
2016,93308,2017,Battery Electric,OTHER/UNK,Heavy,1
2016,93407,<2007,Battery Electric,OTHER/UNK,Heavy,2
2016,93458,<2007,Battery Electric,OTHER/UNK,Heavy,1
2016,93517,2018,Battery Electric,OTHER/UNK,Heavy,1
2016,93534,2014,Battery Electric,OTHER/UNK,Heavy,1
2016,93534,2017,Battery Electric,Unk,Heavy,32
2016,93534,2019,Battery Electric,OTHER/UNK,Heavy,1
2016,93534,2019,Battery Electric,Unk,Heavy,12
2016,93535,2014,Battery Electric,OTHER/UNK,Heavy,1
2016,93535,2017,Battery Electric,OTHER/UNK,Heavy,1
2016,93535,2019,Battery Electric,OTHER/UNK,Heavy,1
2016,93591,2018,Battery Electric,OTHER/UNK,Heavy,1
2016,93619,2011,Battery Electric,OTHER/UNK,Heavy,1
2016,93625,2018,Battery Electric,OTHER/UNK,Heavy,1
2016,93625,2019,Battery Electric,OTHER/UNK,Heavy,1
2016,93654,2013,Battery Electric,OTHER/UNK,Heavy,2
2016,93654,2014,Battery Electric,OTHER/UNK,Heavy,1
2016,93654,2015,Battery Electric,OTHER/UNK,Heavy,2
2016,93657,2018,Battery Electric,OTHER/UNK,Heavy,2
2016,93721,2018,Battery Electric,OTHER/UNK,Heavy,5
2016,93721,2019,Battery Electric,OTHER/UNK,Heavy,2
2016,93723,2018,Battery Electric,OTHER/UNK,Heavy,2
2016,93906,2016,Battery Electric,OTHER/UNK,Heavy,1
2016,93926,2016,Battery Electric,OTHER/UNK,Heavy,1
2016,93940,2018,Battery Electric,OTHER/UNK,Heavy,2
2016,94010,2017,Battery Electric,Unk,Heavy,17
2016,94010,2018,Battery Electric,OTHER/UNK,Heavy,10
2016,94025,2017,Battery Electric,Unk,Heavy,13
2016,94025,2018,Battery Electric,OTHER/UNK,Heavy,1
2016,94043,2014,Battery Electric,OTHER/UNK,Heavy,1
2016,94043,2015,Battery Electric,OTHER/UNK,Heavy,2
2016,94070,2018,Battery Electric,OTHER/UNK,Heavy,2
2016,94080,2018,Battery Electric,OTHER/UNK,Heavy,6
2016,94080,2019,Battery Electric,OTHER/UNK,Heavy,3
2016,94124,2014,Battery Electric,NEWFLYER,Heavy,59
2016,94124,2017,Battery Electric,Unk,Heavy,26
2016,94124,2018,Battery Electric,NEW FLYER,Heavy,139
2016,94124,2018,Battery Electric,OTHER/UNK,Heavy,6
2016,94124,<2007,Battery Electric,NEWFLYER,Heavy,32
2016,94124,<2007,Battery Electric,TROLLEY,Heavy,28
2016,94127,<2007,Battery Electric,OTHER/UNK,Heavy,1
2016,94142,2014,Battery Electric,OTHER/UNK,Heavy,1
2016,94143,2017,Battery Electric,Unk,Heavy,14
2016,94143,2018,Battery Electric,OTHER/UNK,Heavy,2
2016,94158,2017,Battery Electric,OTHER/UNK,Heavy,1
2016,94236,<2007,Battery Electric,OTHER/UNK,Heavy,4
2016,94305,2013,Battery Electric,OTHER/UNK,Heavy,3
2016,94305,2014,Battery Electric,OTHER/UNK,Heavy,10
2016,94305,2015,Battery Electric,OTHER/UNK,Heavy,4
2016,94305,2016,Battery Electric,OTHER/UNK,Heavy,10
2016,94305,2017,Battery Electric,Unk,Heavy,18
2016,94404,2017,Battery Electric,OTHER/UNK,Heavy,1
2016,94509,2017,Battery Electric,OTHER/UNK,Heavy,2
2016,94509,2018,Battery Electric,OTHER/UNK,Heavy,2
2016,94510,2017,Battery Electric,OTHER/UNK,Heavy,1
2016,94538,2019,Battery Electric,OTHER/UNK,Heavy,9
2016,94565,2018,Battery Electric,OTHER/UNK,Heavy,2
2016,94565,2019,Battery Electric,OTHER/UNK,Heavy,1
2016,94590,2016,Battery Electric,OTHER/UNK,Heavy,2
2016,94603,2010,Battery Electric,OTHER/UNK,Heavy,10
2016,94603,2011,Battery Electric,OTHER/UNK,Heavy,1
2016,94603,<2007,Battery Electric,OTHER/UNK,Heavy,1
2016,94607,2019,Battery Electric,OTHER/UNK,Heavy,1
2016,94609,2010,Battery Electric,OTHER/UNK,Heavy,1
