Base Scenario

Inputs
"class_dist,home_access_dist,home_power_dist,pev_dist,pref_dist,work_power_dist,res_charging,work_charging,temp_c,mean_dvmt,fleet_size,format"
"Sedan,HA100,Equal,EQUAL,Home100,MostL2,min_delay,min_delay,20,25,30000,json"

Weekday Load Profile
home_l1
"6214.35,6090.33,5921.36,5701.22,5504.59,5211.27,4933.06,4692.32,4478.25,4245.89,4003.81,3762.6,3529.28,3300.52,3113.78,2896.25,2714.92,2554.42,2379.6,2218.51,2040.95,1869.71,1704.56,1569.26,1433.12,1336.35,1202,1083.75,955.25,855.04,774.87,725.87,694,686.57,659.83,642.49,617.05,622.6,625.69,632.3,647.29,699.31,746.27,814.88,874.38,955.09,1059.62,1144.46,1255.4,1431.47,1561.03,1654.46,1721.28,1818.13,1910.65,1980.14,2080.67,2226.78,2398.14,2577.1,2858.47,3230.39,3588.33,3890.94,4298.03,4672.69,4966.82,5246.72,5653.97,6166.08,6753.83,7134.23,7495.7,7815.91,8064.36,8131.82,8228.84,8285.96,8316.17,8328.35,8337.8,8355.76,8329.12,8265.38,8271.82,8273.56,8273.35,8211.11,8105.69,7963.75,7836.43,7619.45,7438.07,7200.57,6972.27,6710.22"
home_l2
"3949.36,3413.14,2932.06,2547.53,2377.36,2014.73,1799.41,1542.59,1431.65,1269.1,1149.01,976.45,854.66,711.99,585.44,467.16,372.86,298.72,254.31,217.33,161.37,145.94,105.62,128.62,154.76,172.12,163.42,152.36,197.43,241.13,291.57,284.94,426.98,602.42,721.09,696.62,664.27,731.19,818.4,823.15,848.87,958.21,1027.35,1122.7,1321.69,1495.53,1786.26,1865.62,2126.02,2347.61,2678.08,2639.62,2777.11,2850.89,3022.02,3077.69,3273.26,3424.19,3885.79,4443.29,5163.66,6091.35,6916.37,7159.1,8121.32,8842.33,9378.25,9817.47,10592.95,11950.97,13319.24,13991.27,14686.58,14929.55,14787.57,14484.67,14309,13965.96,13452.11,12855,12273.09,11938.58,11549.96,11063.02,10687.57,10414.03,10103.06,9476.9,8852.15,8239.16,7744.51,7082.89,6502.04,5776.43,5087.65,4531.13"
work_l1
"35.28,35.28,33.9,30.24,26.03,24.77,23.63,23.52,22.38,21.17,19.95,18.97,17.87,17.21,16.46,17.47,21.47,24.64,25.18,25.22,30.49,35.87,41.95,53.26,77.72,86.26,103.42,119.66,156.74,178.54,217.45,254.02,303.15,328.14,356.23,378.85,414.14,428.92,444.2,454.16,458.27,453.19,445.3,440.05,425.71,412.3,398.19,382.67,367.12,359,358.56,350.29,343.34,333.89,326.63,319.43,313.93,305.91,291.65,276.75,262.87,251.88,235.47,224.99,197.77,185.2,172.83,164.38,137.92,122.06,107.78,102.84,92.89,88.25,88.14,87.54,82.08,73.62,70.85,68.18,64.03,60.17,57.86,55.62,55.09,51.72,51.96,50.85,49.22,48.32,46.86,45.18,45.24,44.12,42.14,39.67"
work_l2
"58.73,50.73,44.57,35.75,34.49,33.48,37.7,39.02,39.76,31.86,26.88,26.69,28.58,30.6,46.3,55.34,115.58,142.48,174.32,227.31,318.61,392.18,500.03,612.49,881.43,992.11,1243.2,1443.29,1967.19,2212.31,2624.08,2939.23,3404.49,3507.15,3641.97,3613.85,3685.85,3464.91,3269.74,3053.81,2788.99,2541.89,2267.48,1975.76,1736.72,1524.46,1345.66,1182.74,1101.89,1047.79,1036.34,1060.84,1044.1,994.1,965.45,941.12,923.99,954.13,934.69,891.63,906.11,846.5,757.43,723.03,688.24,652.76,641.38,581.02,555.13,492.19,409.07,356.72,313.07,288.2,281.19,280.05,289.1,263.88,229,201.16,173.92,159.09,151.14,136.61,161.28,137.23,114.22,110.93,115.63,95.42,87.59,111.11,95.09,80.24,68.72,64.17"
public_l2
"460.19,398.33,372.37,343.66,314.62,268.94,232.21,201.59,190.23,178.01,154.53,147.55,138.17,126.13,97.63,94.94,85.16,83.85,71.78,76.42,90.9,138.35,170.02,194.48,289.88,313.46,362.8,453.94,602.57,631.96,741.35,855.37,1029.77,1153.66,1296.63,1400.07,1658.49,1748.07,1802.21,1859.85,1939.15,1864.24,1905.49,1906.18,2022.94,2020.69,1922.01,1908.51,1971.23,1986.11,2023.75,2063.04,2118.02,2095.03,2090.17,2083.25,2032.42,2001.29,2021.9,1962.71,1998.95,1990.21,1907.26,1953.14,2068.72,2092.28,1994.6,1996.34,2033.78,2057.18,2234.39,2323.35,2499.23,2536.69,2597.64,2626.39,2640.17,2641.97,2583.06,2509.31,2319.16,2039.12,1788.01,1621,1388.47,1213.27,1068.42,964.66,914.58,832.87,764.89,716.23,642.7,586.64,548.42,511.45"
public_l3
"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.2,24.6,15.98,31.34,59.06,82.41,85.86,106.79,149.98,109.61,120.34,156.34,87.36,111.53,169.61,201.31,141.76,268.74,277.48,309.49,220.72,297.29,240.8,223.52,188.92,162.87,212.84,158.31,223.77,97.06,124.84,145.96,78.84,60.34,115.31,166.78,100.92,119.03,173.06,154.52,163.77,108.69,141.06,132.73,33.26,60.96,118.76,198.43,148.46,84.76,83.35,133.73,142.48,77.81,64.03,46.93,12.3,41.82,34.28,10.61,0,0,0,0.01,15.05,1.17,0,0,0,0,0"
Weekend Load Profile
home_l1
"5559.76,5453.78,5330.29,5150.16,4996.12,4781.53,4582.09,4394.52,4231.78,4062.96,3906.76,3751.98,3586.93,3414.25,3235.06,3063.53,2911.46,2765.11,2628.1,2479.61,2341.96,2219.51,2091.49,1956.64,1813.24,1699.27,1587.06,1467.66,1362.92,1301.32,1203.55,1134.62,1033.13,986.59,942.31,908.82,903.52,920.45,906.8,906.24,963.82,1057.45,1141.36,1251.79,1389.67,1538.51,1688.03,1862.02,2098.6,2371.3,2618.09,2840.45,2992,3062.21,3219.65,3247.31,3371.65,3501.32,3695.98,3751.7,3904.07,4044.94,4211.47,4331.77,4526.59,4680.83,4889.75,4982.41,5223.04,5420.88,5581.33,5707.84,5846.5,5987.48,6098.11,6135.14,6274.72,6366.01,6474.1,6497.67,6567.46,6637.79,6675.13,6705.71,6778.35,6749.84,6703.26,6637.42,6618.35,6557.67,6470.94,6357.44,6279.08,6189.84,6130.59,5997.93"
home_l2
"5027.37,4359.02,3854.21,3407.48,3225.77,2893.28,2546.85,2221.3,1984.21,1760.5,1614.92,1542.98,1430.4,1265.17,1059.71,916.29,776.98,611.36,520.91,443.39,367.52,309.84,280.92,260.37,263.15,261.62,306.25,355.45,376.96,291.48,331.25,376.5,386.39,358.38,491.68,474.02,628.73,671.48,718.99,788.93,1042.13,1364,1533.77,1659.74,1962.95,2111.6,2400.55,2857.18,3315.96,4050.67,4317.74,4502.74,4364.29,4206.96,4595.36,4476.46,4779.07,5402.19,5816.45,5869.08,6290.15,6527.74,7177.49,7438.46,7806.82,8256.28,8935.34,8869.25,9525.58,9827.78,9682.62,9577.85,9739.55,9905.96,10176.76,10072.7,10384.61,10208.72,10172.75,9765.32,9611.71,9342.31,9236,9175.95,9180.19,9108.43,8934.33,8545.55,8349.4,8016.33,7711.6,7254.46,6789.43,6453.98,6280.76,5818.79"
work_l1
"18.48,18.48,18.2,17.64,16.54,15.12,15.12,13.67,12.16,10.21,10.14,9.49,10.77,10.08,10.08,10.08,10.92,10.37,8.4,13.05,18.49,20.16,24.47,26.21,34.16,38.08,41.44,51.24,59.25,63.5,72.68,80.7,91.35,94.73,94.94,96.1,102.96,104.27,104.15,102.52,106.95,103.52,103.79,101.8,104.37,107.21,104.6,96.61,94.1,87.74,84.68,78.32,81.17,77.18,72.83,73.33,67.86,66.89,66.46,67.51,69.92,71.94,69.84,66.84,60.35,55.84,52.9,48.45,41.55,39.43,40.31,37.44,37,35.21,33.11,32.48,32.2,31.7,31.03,32.64,28.45,27.08,26.25,22.24,23.36,22.53,20.85,19.04,18.22,15.96,16.82,19.6,20.16,20.16,18.5,20.16"
work_l2
"44.6,31.69,39.61,36.96,26.86,9.62,5.18,4.32,7.33,6.12,20.02,17.77,16.25,13.01,9.46,31.32,37.44,37.44,44.88,74.26,125.09,138.93,153.55,183.34,353.28,376.49,431.86,535.81,697.42,728.59,822.57,891.83,1013.18,971.31,947.4,900.77,914.45,882.14,828.31,780.53,751.8,685.86,573.39,524.63,545.65,525.05,453.51,382.36,313.39,287.87,299.3,274.75,265.66,250.65,262.51,265.83,251.23,283.75,294.86,307.01,382.41,374.61,353.08,337.76,359,316.5,282.56,260.45,224.49,195.45,217.37,266.42,311.91,270.29,233.88,221.07,207.31,202.46,199.28,171.75,144.1,131.09,123.97,99.07,90.13,82.04,90.31,82.46,89.56,81.32,74.75,77.69,53.75,37.99,33.76,46.45"
public_l2
"1062.69,920.61,748.95,629.48,527.89,452.89,398.63,323,278.56,269.6,228.44,259.94,247.39,197.68,157.8,132.91,109.01,96.05,93.89,82.93,80.92,87.04,93.65,111.22,220.93,202.95,227,264.64,462.8,544.82,739.96,848.68,1165.79,1235.67,1480.76,1622.33,1906.36,1970.61,2291.47,2501.49,2726.44,2847.29,2976.35,3033.92,3265.66,3329.13,3454.89,3548.78,3748.69,3800.77,3917.18,3993.38,4091.02,4234.83,4209.09,4408.25,4451.09,4366.61,4188.95,4127.56,4017.29,3947.86,3903.9,3708.35,3695.71,3790.59,3749.12,3782.68,3878.72,3752.85,3711.06,3750.71,3787.37,3861.03,3948.08,3799.73,3726.52,3579.48,3650.66,3467.65,3122.8,2903.05,2746.57,2613.71,2196.26,2086.94,1988.58,1818.61,1606.5,1530.68,1496.89,1454.52,1327.67,1263.36,1238.39,1203.24"
public_l3
"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.2,12.3,12.3,10.32,0,0,0,0.01,24.59,64.28,88.19,11.68,14.74,116.47,184.66,225.26,173.74,107.56,240.67,233.69,267.46,408.07,364.03,415.07,464.72,448.66,387.43,296.77,414.31,387.13,404.5,499.09,506.51,429.37,417.93,551.55,615.35,372.61,479.67,379.79,346.52,322.4,424.48,489.19,348.65,187.44,178.84,201.1,507,500.13,361.66,309.85,200.8,141.72,246.37,280.01,238.55,298.09,235.18,154.94,21,55.78,56.03,145.49,148.04,78.19,18.91,24.74,65.15,44.11,42.29,42.31,38.02,24.6,23.75,12.3,12.3,12.13"
